Aluminum_Cast,None,Aluminum_Cast,/NVIDIA/Materials/Base/Metals,
Aluminum_Anodized_red,None,Aluminum_Anodized_Red,/NVIDIA/Materials/Base/Metals,
Aluminum_anodized_Charcoal,None,Aluminum_Anodized_Charcoal,/NVIDIA/Materials/Base/Metals,
Aluminum_Anodized_Blue,None,Aluminum_Anodized_Blue,/NVIDIA/Materials/Base/Metals,
Aluminum_Anodized_Black,None,Aluminum_Anodized_Black,/NVIDIA/Materials/Base/Metals,
Aluminum_Anodized,None,Aluminum_Anodized,/NVIDIA/Materials/Base/Metals,
Stucco,None,Stucco,/NVIDIA/Materials/Base/Masonry,
Concrete_Smooth,None,Concrete_Smooth,/NVIDIA/Materials/Base/Masonry,
Concrete_Rough,None,Concrete_Rough,/NVIDIA/Materials/Base/Masonry,
Concrete_Polished,None,Concrete_Polished,/NVIDIA/Materials/Base/Masonry,
Concrete_Formed,None,Concrete_Formed,/NVIDIA/Materials/Base/Masonry,
Concrete_Block,None,Concrete_Block,/NVIDIA/Materials/Base/Masonry,
Brick_Wall_Red,None,Brick_Wall_Red,/NVIDIA/Materials/Base/Masonry,
Brick_Wall_Brown,None,Brick_Wall_Brown,/NVIDIA/Materials/Base/Masonry,
Brick_Pavers,None,Brick_Pavers,/NVIDIA/Materials/Base/Masonry,
Adobe_Brick,None,Adobe_Brick,/NVIDIA/Materials/Base/Masonry,
Tinted_Glass_R98,None,Tinted_Glass_R98,/NVIDIA/Materials/Base/Glass,
Tinted_Glass_R85,None,Tinted_Glass_R85,/NVIDIA/Materials/Base/Glass,
Tinted_Glass_R75,None,Tinted_Glass_R75,/NVIDIA/Materials/Base/Glass,
Tinted_Glass_R50,None,Tinted_Glass_R50,/NVIDIA/Materials/Base/Glass,
Tinted_Glass_R25,None,Tinted_Glass_R25,/NVIDIA/Materials/Base/Glass,
Tinted_Glass_R02,None,Tinted_Glass_R02,/NVIDIA/Materials/Base/Glass,
Tinted_Glass,None,Tinted_Glass,/NVIDIA/Materials/Base/Glass,
Red_Glass,None,Red_Glass,/NVIDIA/Materials/Base/Glass,
Mirror,None,Mirror,/NVIDIA/Materials/Base/Glass,
Green_Glass,None,Green_Glass,/NVIDIA/Materials/Base/Glass,
Glazed_Glass,None,Glazed_Glass,/NVIDIA/Materials/Base/Glass,
Frosted_Glass,None,Frosted_Glass,/NVIDIA/Materials/Base/Glass,
Dull_Glass,None,Dull_Glass,/NVIDIA/Materials/Base/Glass,
Clear_Glass,None,Clear_Glass,/NVIDIA/Materials/Base/Glass,
Blue_Glass,None,Blue_Glass,/NVIDIA/Materials/Base/Glass,
Light_7000K,None,Light_7000K,/NVIDIA/Materials/Base/Emissives,
Light_6000K,None,Light_6000K,/NVIDIA/Materials/Base/Emissives,
Light_5500K,None,Light_5500K,/NVIDIA/Materials/Base/Emissives,
Light_5000K,None,Light_5000K,/NVIDIA/Materials/Base/Emissives,
Light_2900K,None,Light_2900K,/NVIDIA/Materials/Base/Emissives,
Light_2600K,None,Light_2600K,/NVIDIA/Materials/Base/Emissives,
Light_1900K,None,Light_1900K,/NVIDIA/Materials/Base/Emissives,
Light_12000K,None,Light_12000K,/NVIDIA/Materials/Base/Emissives,
Carpet_Pattern_Squares_Multi,None,Carpet_Pattern_Squares_Multi,/NVIDIA/Materials/Base/Carpet,
Carpet_Pattern_Loop,None,Carpet_Pattern_Loop,/NVIDIA/Materials/Base/Carpet,
